iter	Logloss
325	0.1728056247
326	0.1721631974
327	0.1715547924
328	0.1709350756
329	0.1703055548
330	0.1697544826
331	0.1687985407
332	0.1681615974
333	0.1679136085
334	0.1674762429
335	0.166930351
336	0.1662480418
337	0.1653814135
338	0.1650373419
339	0.1646962517
340	0.163989168
341	0.1633250181
342	0.1629126727
343	0.1623060981
344	0.1616595646
345	0.1612179491
346	0.1607309823
347	0.1603208164
348	0.1600786828
349	0.159529161
350	0.1589641478
351	0.1583865016
352	0.157949498
353	0.1572096274
354	0.1564935965
355	0.1561351643
356	0.1556537123
357	0.155382
358	0.1547751308
359	0.15386367
360	0.1532194448
361	0.1526688963
362	0.1522862923
363	0.151561045
364	0.1508216458
365	0.1501525334
366	0.1497232218
367	0.1489822676
368	0.1486076097
369	0.1484046772
370	0.1479368955
371	0.1473409524
372	0.1469249727
373	0.1463793578
374	0.1460301904
375	0.1455940421
376	0.1449139623
377	0.1445951561
378	0.143953789
379	0.1433653581
380	0.1428365839
381	0.1420296467
382	0.1417371552
383	0.1411248838
384	0.1405348729
385	0.1401140625
386	0.1396543328
387	0.1392533463
388	0.1388185708
389	0.1383586042
390	0.1380570101
391	0.1375066943
392	0.1370589363
393	0.1365074797
394	0.1358879505
395	0.1353581227
396	0.135002169
397	0.1345852626
398	0.1341476433
399	0.1338638562
400	0.133324405
401	0.1329063362
402	0.1321546452
403	0.131758789
404	0.1312991637
405	0.1309447927
406	0.1306225987
407	0.1302502967
408	0.1298072764
409	0.1293871219
410	0.129044944
411	0.1286669014
412	0.1282403587
413	0.1278594948
414	0.1275721622
415	0.1271877215
416	0.1267117262
417	0.1263237375
418	0.1258253906
419	0.1253493624
420	0.1250195237
421	0.1245499131
422	0.1239689863
423	0.1235148073
424	0.1230824152
425	0.122670089
426	0.1223632031
427	0.1221757354
428	0.1217876141
429	0.1211443436
430	0.1208190477
431	0.1203117549
432	0.1198975542
433	0.1194892484
434	0.1193744372
435	0.1190044261
436	0.1185437744
437	0.1181274588
438	0.1175213518
439	0.1171127929
440	0.1166874874
441	0.1163128962
442	0.1158862237
443	0.1155420148
444	0.1152488449
445	0.1151308843
446	0.1147359831
447	0.1141896169
448	0.1137654028
449	0.1132200278
450	0.1130718397
451	0.112576455
452	0.1123434378
453	0.1118390172
454	0.1112084972
455	0.1111354096
456	0.1108172802
457	0.1103296694
458	0.1101140087
459	0.109781101
460	0.1091511113
461	0.1086619841
462	0.1081289398
463	0.1077870231
464	0.1074432822
465	0.1070376085
466	0.1066393758
467	0.1062476634
468	0.1059515831
469	0.1056132364
470	0.1052248647
471	0.1048819682
472	0.1047597103
473	0.1044279519
474	0.1039180164
475	0.1036260915
476	0.1032625004
477	0.1028659265
478	0.102614983
479	0.1022026728
480	0.101633313
481	0.1012152839
482	0.1009340614
483	0.1005667306
484	0.1002783471
485	0.09999674467
486	0.09967973347
487	0.09940950367
488	0.09913668924
489	0.09901949381
490	0.09867512923
491	0.09832551884
492	0.09802908029
493	0.09782178192
494	0.09752145886
495	0.09716539496
496	0.09683688856
497	0.09649318876
498	0.09597496828
499	0.09571142389
